District,Total Enrollment,Total Revenue
ALLEN-OTTER CREEK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 65,93,1941
ALLENSTOWN SCHOOL DISTRICT,553,9566
ALLENSWORTH ELEM SCH DIST,84,1006
ALLENTOWN CITY SCH DIST,16483,266690
ALLIANCE CITY SCH DIST,3115,38140
ALLIANCE CITY SCH DIST 6,1563,18140
ALLOWAY TWP SCH DIST,374,8796
ALMA CENTER SCHOOL DISTRICT,660,8709
ALMA SCH DIST 2,279,5020
ALMA SCH DIST 30,3221,31895
ALMA SCHOOL DISTRICT,254,3448
ALMA SCHOOL DISTRICT,2189,24687
ALMIRA SCHOOL DISTRICT 17,115,2296
ALMOND-BANCROFT SCHOOL DISTRICT,421,6149
ALMONT COMM SCH DIST 12,1450,15393
ALPAUGH UNIFIED SCH DIST,629,4281
ALPENA PUBLIC SCHOOLS,3828,39568
ALPENA SCH DIST 5,539,4971
ALPHA BORO SCH DIST,224,5593
ALPINE BORO SCH DIST,155,10055
ALPINE CO UNIF SCH DIST,83,3106
ALPINE IND SCH DIST 901,1013,13767
ALPINE SCH DIST,75161,528554
ALPINE SCHOOL DISTRICT 7,69,974
ALPINE UNION ELEM SCH DIST,1845,18191
ALSEA SCH DIST 7J,172,2739
ALSIP-HAZLGRN-OAKLAWN SCHOOL DISTRICT 126,1595,31845
ALTA COMMUNITY SCHOOL DISTRICT,563,7427
ALTA DUTCH FLAT UNION ELEM SCH DIST,103,1107
ALTA LOMA ELEM SCH DIST,5917,58314
ALTA VISTA ELEM SCH DIST,573,5789
ALTAMONT COMMUNITY UNIT SCHOOL DISTRICT 10,748,8276
ALTAR VALLEY SCHOOL DISTRICT 51,935,8567
ALTENBURG SCH DIST 48,110,1506
ALTMAR PARISH WILLIAMSTWN CENTRAL SCH DIST,1297,31855
ALTO IND SCH DIST 901,646,7240
ALTON COMMUNITY SCHOOL DISTRICT 11,6646,81460
ALTON SCH DIST R 4,664,6575
ALTON TOWN SCH DIST,808,13844
ALTOONA AREA SCH DIST,7764,95433
ALTOONA SCHOOL DISTRICT,1577,21500
ALTOONA-MIDWAY UNIFIED SCHOOL DISTRICT 387,233,2961
ALTUS SCH DIST 18,3586,28543
ALUM ROCK UNION ELEM SCH DIST,12386,144586
ALVA SCH DIST 1,1039,15744
ALVARADO IND SCH DIST 901,3498,38464
ALVIEW DAIRYLAND UNION ELEMENTARY,352,3490
ALVIN IND SCH DIST 901,20866,215900
ALVINA ELEM SCH DIST,171,1797
ALVORD IND SCH DIST 901,692,8446
ALVORD UNIF SCH DIST,19390,206864
ALWOOD COMMUNITY UNIT SCHOOL DISTRICT 225,411,5489
AMADOR CO SPL SCHS OPER BY CO SUPT,209,10718
AMADOR CO UNIF SCH DIST,3825,32878
AMAGANSETT UNION FREE SCHOOL DISTRICT,111,9243
