District,Total Enrollment,Total Revenue
MACKINAW CITY SCH DIST,177,2344
MACKS CREEK SCH DIST 5,351,3654
MACKSVILLE UNIFIED SCHOOL DISTRICT 351,261,3937
MACOMB COMMUNITY UNIT SCHOOL DISTRICT 185,2068,26544
MACOMB SCH DIST 4,291,2498
MACON CO SCH DIST,1609,17803
MACON CO SCH DIST,3848,31695
MACON CO SCH DIST R I,1356,13447
MACON CO SCH DIST R-4,105,1699
MACON CO SCHOOLS,4440,41527
MACON COUNTY SCHOOL DISTRICT,2149,25048
MACONAQUAH SCHOOL CORPORATION,2405,26368
MACY SCH DIST 16,498,11389
MAD RIVER LOCAL SCH DIST,3929,47835
MAD RIVER-GREEN SCH DIST,1646,19064
MADAWASKA TOWN SCHOOLS,436,7372
MADDOCK SPEC SCH DIST 9,148,2532
MADEIRA CITY SCH DIST,1509,21546
MADELIA PUB SCH DIST 837,524,8075
MADERA CO SPL SCHS OPER BY CO SUPT,968,51992
MADERA UNIFIED SCHOOL DISTRICT,20415,208698
MADILL SCH DIST 2,1746,15143
MADISON BORO SCH DIST,2530,50433
MADISON CENTRAL SCH DIST,508,9756
MADISON CENTRAL SCHOOL DISTRICT 39-2,1130,11533
MADISON CITY SCH DIST 1,540,9091
MADISON CITY SCHOOL DISTRICT,9789,103675
MADISON CO SCH,2489,25770
MADISON CO SCH DIST,4854,53111
MADISON CO SCH DIST,11789,115419
MADISON CO SCHS,1865,26877
MADISON COMMUNITY UNIT SCHOOL DISTRICT 12,775,12024
MADISON CONSOLIDATED SCHOOLS,2905,34338
MADISON COUNTY SCHOOL DISTRICT,2611,34198
MADISON COUNTY SCHOOL DISTRICT,12780,138627
MADISON COUNTY SCHOOL DISTRICT,19565,181672
MADISON ELEMENTARY SCHOOL DISTRICT 38,5964,60868
MADISON LOCAL SCH DIST,1558,16967
MADISON LOCAL SCH DIST,3189,39262
MADISON LOCAL SCH DIST,3281,33524
MADISON METROPOLITAN SCHOOL DISTRICT,27274,407356
MADISON PARISH SCHOOL DISTRICT,1417,20487
MADISON PUB SCH DIST,1325,16990
MADISON PUBLIC SCHOOLS,3161,63938
MADISON SCH DIST C 3,236,2382
MADISON SCHOOL DISTRICT,1556,16934
MADISON SCHOOL DISTRICT 321,5173,36832
MADISON TOWN SCH DIST,312,5959
MADISON VIRGIL UNIFIED SCHOOL DISTRICT 386,243,3357
MADISON-GRANT UNITED SCHOOL CORPORATION,1324,14352
MADISON-PLAINS LOCAL SCHOOL DIST,1211,15603
MADISONVILLE IND SCH DIST 901,2332,26137
MADRID COMMUNITY SCHOOL DISTRICT,684,8099
MADRID-WADDINGTON CENTRAL SCH DIST,693,14498
MAERCKER SCHOOL DISTRICT 60,1335,23453
MAGAZINE SCH DIST,597,6211
MAGDALENA SCHOOL DISTRICT 12,352,6932
MAGNET COVE SCH DIST,689,6723
MAGNOLIA BORO SCH DIST,417,7707
MAGNOLIA ELEM SCH DIST,6403,68678
MAGNOLIA IND SCH DIST 906,12458,120376
MAGNOLIA SCH DIST,3043,28792
MAGNOLIA UNION ELEM SCH DIST,130,1177
MAGOFFIN CO SCH DIST,2281,27408
MAHANOY AREA SCH DIST,1004,17924
MAHNOMEN CO SCH DIST 432,652,9966
MAHOMET COMMUNITY UNIT SCHOOL DISTRICT 3,3045,33007
MAHOPAC CENTRAL SCH DIST,4538,117337
MAHTOMEDI SCH DIST 832,3342,42707
MAHWAH TWP SCH DIST,3057,69067
MAINE CONSOLIDATED SCHOOL DISTRICT 10,144,2048
MAINE ENDWELL CENTRAL SCH DIST,2474,48940
MAINE TOWNSHIP HIGH SCHOOL DISTRICT 207,6307,162553
MAINLAND REG HIGH SCHOOL DIST,1340,32905
MAIZE UNIFIED SCHOOL DISTRICT 266,7270,76482
MALAKOFF IND SCH DIST 906,1214,17796
MALCOLM SCH DIST 148,516,7138
MALDEN CITY SCHS,6564,118669
MALDEN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 84,85,1446
MALDEN SCH DIST R 1,1048,10692
MALONE CENTRAL SCH DIST,2303,50152
MALONE IND SCH DIST 908,96,1477
MALTA BEND SCH DIST R-5,82,1760
MALTA IND SCH DIST 910,128,1287
MALTA K-12 SCHOOL DISTRICT,492,7054
MALVERN SCH DIST,2065,24139
MALVERNE UNION FREE SCHOOL DIST,1726,52767
MAMARONECK UF SCH DIST,5218,131273
MAMMOTH SPRING SCH DIST,486,4826
MAMMOTH UNIFIED SCHOOL DISTRICT,1193,15278
MAMMOTH-SAN MANUEL UNIFIED SCHOOL DISTRICT 8,779,7214
MANALAPAN-ENGLISHTOWN REG SCH DIST,5075,90232
MANASQUAN BORO SCH DIST,1599,27382
MANASSAS CITY SCHOOLS,7476,110151
MANASSAS PARK CITY SCHS,3359,38787
MANATEE COUNTY SCHOOL DISTRICT,47883,474870
MANAWA SCHOOL DISTRICT,695,9039
MANCELONA SCH DIST,963,11434
MANCHESTER  COMMUNITY SCHOOLS,1542,17636
MANCHESTER CITY SCHOOL DISTRICT,14565,184082
MANCHESTER ESSEX REGIONAL SCHOOL DISTRICT,1507,28240
MANCHESTER LOCAL SCH DIST,1328,16346
MANCHESTER LOCAL SCHOOL DISTRICT,870,16334
MANCHESTER PUBLIC SCHOOL DIST,1131,15055
MANCHESTER TOWN SCH DIST,590,12226
MANCHESTER TOWN SCH DIST,1328,14627
MANCHESTER TOWN SCHOOLS,6228,140904
MANCHESTER TWP SCH DIST,2904,64612
MANCHESTER UNION ELEM SCH DIST,42,709
MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DIST,850,16765
MANCOS SCH DIST 6,455,4564
MANDAN PUBLIC SCH DIST 1,3536,45668
MANDAREE SCH DIST 36,182,7368
MANES SCH DIST R 5,80,1029
MANGUM SCH DIST 1,743,6263
MANHASSET UNION FREE SCHOOL DIST,3356,91779
MANHATTAN BEACH UNIFIED SCH DIST,6890,85912
MANHATTAN ELEM SCH DIST 3,393,3595
MANHATTAN H S DIST 3,204,3191
MANHATTAN SCHOOL DISTRICT 114,1374,15078
MANHATTAN UNIFIED SCHOOL DISTRICT 383,6565,75706
MANHEIM CENTRAL SCH DIST,2857,50034
MANHEIM TWP SCH DIST,5737,87505
MANILA SCH DIST 15,1112,10533
MANISTEE AREA PUBLIC SCHS,1506,17281
MANISTIQUE AREA SCHOOLS,846,9609
MANITOU SPRINGS SCH DIST 14,1458,14980
MANITOWOC SCHOOL DISTRICT,5179,59768
MANKATO IND SCH DIST 77,7963,102108
MANNFORD SCH DIST 3,1574,12187
MANNHEIM SCHOOL DISTRICT 83,2778,58632
MANNING SCH DIST 45,26,193
MANNINGTON TWP SCH DIST,181,5493
MANNSVILLE SCH DIST 7,95,1081
MANOR IND SCH DIST 907,8852,117195
MANSFIELD CITY SCH DIST,3665,68429
MANSFIELD IND SCH DIST 908,33410,338430
MANSFIELD SCH DIST,839,8771
MANSFIELD SCH DIST R 4,704,6755
MANSFIELD SCHOOL DISTRICT 207,88,2123
MANSFIELD TOWN SCHOOLS,1239,26635
MANSFIELD TOWN SCHS,4144,67355
MANSFIELD TWP SCH DIST,665,13038
MANSFIELD TWP SCH DIST,696,10863
MANSON SCHOOL DISTRICT 19,668,9465
MANSON-NORTHWEST WEBSTER COMMUNITY SCHOOL DISTRICT,710,10378
MANTECA UNIF SCH DIST,23188,234713
MANTENO COMMUNITY UNIT SCHOOL DISTRICT 5,2203,29179
MANTON CONS SCH DIST 5,926,9731
MANTUA TWP SCH DIST,1290,23154
MANVEL SCH DIST 125,205,2078
MANVILLE BORO SCH DIST,1413,22967
MANZANITA ELEM SCH DIST,284,2829
MANZANOLA SCH DIST 3 JT,147,2412
MAPLE DALE-INDIAN HILL SCHOOL DISTRICT,458,8831
MAPLE ELEM SCH DIST,282,2604
MAPLE HGTS CITY SCH DIST,3580,49887
MAPLE LAKE SCH DIST 881,900,11476
MAPLE RIVER ISD 2135,981,12708
MAPLE SCH DIST 162,157,3354
MAPLE SCHOOL DISTRICT,1389,22435
MAPLE SHADE TWP SCH DIST,2230,39624
MAPLE VALLEY COMMUNITY SCHOOL DISTRICT,681,9111
MAPLE VALLEY SCHOOL DIST,1078,11907
MAPLE VALLEY SCHOOL DISTRICT #4,223,4518
MAPLETON LOCAL SCH DIST,943,10150
MAPLETON SCH DIST 1,8670,80798
MAPLETON SCH DIST 32,151,2893
MAPLETON SCH DIST 7,141,1664
MAPLEWOOD LOCAL SCHOOL DISTRICT,745,9979
MAPLEWOOD-RICHMOND HEIGHTS SCHOOL DIST,1327,20866
MAQUOKETA COMMUNITY SCHOOL DISTRICT,1421,19309
MAQUOKETA VALLEY COMMUNITY SCHOOL DISTRICT,758,9671
MARAIS DES CYGNE VALLEY UNIFIED SCHOOL DISTRICT 456,270,3592
MARANA UNIFIED SCHOOL DISTRICT 6,12483,97404
MARATHON CENTRAL SCHOOL DISTRICT,750,16550
MARATHON IND SCH DIST 902,42,1695
MARATHON SCHOOL DISTRICT,676,9541
MARBLE CITY SCH DIST 35,129,1769
MARBLE FALLS IND SCH DIST 904,4064,52506
MARBLEHEAD TOWN SCHS,3245,54995
MARCELINE SCH DIST R 5,634,6982
MARCELLUS CENTRAL SCH,1770,31853
MARCELLUS SCHOOL DIST,694,8310
MARCOLA SCH DIST 79 J,222,2905
MARCUM ILLINOIS UNION ELEM SCHOOL DIST,2283,3682
MARCUS-MERIDEN-CLEGHORN COMMUNITY SCHOOL DISTRICT,475,6105
MARENGO COMMUNITY HIGH SCHOOL DISTRICT 154,745,15093
MARENGO COUNTY SCHOOL DISTRICT,1148,12300
MARENGO-UNION CONSOLIDATED SCHOOL DISTRICT 165,1069,12659
MARFA IND SCH DIST 901,351,5183
MARGARETTA LOCAL SCH DIST,1165,15505
MARGARETVILLE CENTRAL SCH DIST,383,10916
MARGATE CITY SCHOOL DISTRICT,430,14284
MARICOPA COUNTY REGIONAL SCHOOL DISTRICT,357,4249
MARICOPA SCHOOL DISTRICT 20,6189,47365
MARICOPA UNI SCH DIST,2438,7970
MARIEMONT CITY SCH DIST,1701,26784
MARIES CO R-2 SCH DIST,798,7529
MARIES COUNTY SCHOOL DIST. R-1,518,4746
MARIETTA CITY SCH DIST,2686,31228
MARIETTA IND SCH DIST,8817,108395
MARIETTA SCH DIST 16,1053,8656
MARIN CO SPECIAL SCHOOLS,282,56525
MARINETTE SCHOOL DISTRICT,2092,28050
MARION C EARLY SCHOOL DIST R5,553,6031
MARION CENTER AREA SCHOOL DIST,1411,23676
MARION CENTRAL SCHOOL DISTRICT,794,18943
MARION CITY SCH DIST,4209,61712
MARION CO SCH DIST,1444,14013
MARION CO SCH DIST,3226,32994
MARION CO SCH DIST,4262,37586
MARION CO SCH DIST,8168,98723
MARION CO SCH DIST R-2,229,2573
MARION COMMUNITY SCHOOLS,4545,51458
MARION COMMUNITY UNIT SCHOOL DISTRICT 2,4027,57211
MARION COUNTY SCHOOL DISTRICT,2079,22172
MARION COUNTY SCHOOL DISTRICT,3438,37784
MARION COUNTY SCHOOL DISTRICT,42517,390338
MARION COUNTY SCHOOL DISTRICT 10,5029,49164
MARION CTY JOINT SCHOOL DISTRICT 3,458,6324
MARION ELEM DIST 54,103,1240
MARION INDEP SCH DIST 904,1421,13855
MARION INDEPENDENT SCHOOL DISTRICT,1982,28643
MARION LOCAL SCH DIST,868,10012
MARION PUBLIC SCHS,444,7841
MARION SCH DIST,4183,41691
MARION SCHOOL DISTRICT 60-3,209,2464
MARION TWP SCHOOL DIST,511,6066
MARION UNIFIED SCHOOL DISTRICT 408,509,6940
MARIONVILLE SCH DIST R 9,734,6336
MARIPOSA CO SPL SCHS OPER BY CO SUPT,63,3797
MARIPOSA COUNTY UNIFIED SCHOOL DISTRICT,1806,19881
MARISSA COMMUNITY UNIT SCHOOL DISTRICT 40,622,7706
MARK TWAIN SCH DIST R-8,69,885
MARK TWAIN UNION ELEM SCHOOL DIST,816,7383
MARK WEST UNION ELEM SCH DIST,1433,15807
MARKED TREE SCH DIST 28,577,5912
MARKESAN CITY JOINT SCHOOL DISTRICT 3,820,11374
MARLBORO COUNTY SCHOOL DISTRICT,4251,47876
MARLBORO TOWN SCH DIST,127,2627
MARLBORO TWP SCH DIST,5093,92188
MARLBOROUGH CENTRAL SCHOOL DISTRICT,1972,54850
MARLBOROUGH PUBLIC SCHS,4543,87313
MARLBOROUGH TOWN SCH DIST,272,5579
MARLBOROUGH TOWN SCHOOLS,599,9504
MAR-LEE CONS SCHOOL DIST,303,3188
MARLETTE COMM SCH DIST,943,9305
MARLIN IND SCH DISTRICT 903,945,11644
MARLINGTON LOCAL SCH DIST,2369,25274
MARLOW SCH DIST 3,1456,11810
MARLOW TOWN SCH DIST,82,1696
MARMADUKE SCH DIST,827,7499
MARMATON VALLEY UNIFIED SCHOOL DISTRICT 256,299,4265
MAROA FORSYTH COMMUNITY UNIT SCHOOL DISTRICT 2,1196,13770
MARPLE NEWTOWN SCH DIST,3280,74887
MARQUAND SCH DIST R6,178,2068
MARQUARDT SCHOOL DISTRICT 15,2718,54726
MARQUETTE AREA PUBLIC SCHOOLS,3230,32923
MARS AREA SCH DIST,3262,42709
MARSEILLES ELEMENTARY SCHOOL DISTRICT 150,589,8719
MARSH VALLEY SCHOOL DISTRICT 21,1255,9105
MARSHALL CO SCH DIST,4691,77778
MARSHALL CO SCH DIST,4924,49416
MARSHALL CO SCH DIST,5387,45379
MARSHALL COMMUNITY UNIT SCHOOL DISTRICT 2C,1331,12187
MARSHALL COUNTY CENTRAL SCHOOLS,394,5468
MARSHALL COUNTY SCHOOL DISTRICT,3280,26841
MARSHALL COUNTY SCHOOL DISTRICT,5647,55501
MARSHALL IND SCH DIST 902,5547,51000
MARSHALL JOINT SCHOOL DISTRICT 2,1138,16709
MARSHALL PUBLIC SCH DIST,2521,31020
MARSHALL SCH DIST,2530,24483
MARSHALL SCH DIST 413,2354,32479
MARSHALLTOWN COMMUNITY SCHOOL DISTRICT,5590,71446
MARSHFIELD SCH DIST R 1,3072,25917
MARSHFIELD SCHOOL DISTRICT,4051,49518
MARSHFIELD TOWN SCHOOLS,82,633
MARSHFIELD TOWN SCHS,4267,69563
MARSING IND SCHOOL DISTRICT 363,833,6708
MART IND SCH DIST 908,489,5868
MARTENSDALE-ST MARYS COMMUNITY SCHOOL DISTRICT,560,7549
MARTHAS VINEYARD REG HIGH SCHOOL DIST,687,24053
MARTIN CO SCH,3441,37267
MARTIN CO SCH DIST,2090,23859
MARTIN CO WEST SCH DIST 2448,800,10099
MARTIN COUNTY SCHOOL DISTRICT,19101,197619
MARTIN PUBLIC SCHOOLS,569,6287
MARTINEZ UNIFIED SCHOOL DISTRICT,4221,43641
MARTINS FERRY CITY SCH,1434,17310
MARTINS MILL IND SCH DIST 905,513,5753
MARTINSVILLE CITY SCHOOLS,2300,27447
MARTINSVILLE COMMUNITY UNIT SCHOOL DISTRICT 3C,401,4648
MARTINSVILLE IND SCH DISTRICT 909,365,4134
MARTINSVILLE METROPOLITAN SCHOOL DISTRICT,5135,51745
MARVELL SCH DIST 22,397,6450
MARY C OBRIEN ACCOMMODATION DISTRICT,216,4812
MARY M KNIGHT SCHOOL DISTRICT 311,176,3246
MARY WALKER SCHOOL DISTRICT 207,505,6322
MARYETTA SCH DIST 22,689,6732
MARYSVILLE EX VILLAGE SCH DIST,5034,75804
MARYSVILLE PUB SCH DIST,2762,27552
MARYSVILLE SCHOOL DISTRICT 25,11420,137969
MARYSVILLE UNIF SCH DIST,9647,106190
MARYSVILLE UNIFIED SCHOOL DISTRICT 364,804,9037
MARYVILLE CITY SCH DIST,5131,54169
MARYVILLE SCH DIST R 2,1502,18770
MASCENIC REGIONAL SCHOOL DISTRICT,1094,16645
MASCOMA VALLEY REG SCHOOL DIST,1199,22786
MASCONOMET REG SCH DIST,1971,36008
MASCOUTAH COMMUNITY UNIT SCHOOL DISTRICT 19,3675,41939
MASHPEE PUBLIC SCHOOL,1667,33750
MASON CITY COMMUNITY SCHOOL DISTRICT,3992,48137
MASON CITY SCHOOL DISTRICT,10603,129448
MASON CO CENTRAL SCH DIST,1297,14777
MASON CO EASTERN SCH DIST,459,5171
MASON CO SCH DIST,2837,28752
MASON CO SCH DIST,4251,51496
MASON CONS SCH DIST 2,1120,11532
MASON IND SCH DIST 901,654,8122
MASON PUBLIC SCHOOLS 11,3141,33307
MASON SCH DIST 2,270,2683
MASON SCHOOL DISTRICT,154,2969
MASSAC UNIT DISTRICT 1,2169,23950
MASSAPEQUA UF SCH DIST 23,7307,191963
MASSENA CENTRAL SCHOOL DIST,2821,52153
MASSILLON CITY SCH DIST,4028,54676
MATAGORDA IND SCH DIST 904,188,3522
MATANUSKA SUSITNA BOROUGH SCHOOL DISTRICT,18028,337267
MATAWAN-ABERDEEN REG SCH DIST,3844,72425
MATHEWS CO SCHS,1140,14008
MATHEWS LOCAL SCH DIST,726,9950
MATHIS IND SCH DIST 904,1708,21853
MATTAPOISETT PUBLIC SCH,502,9391
MATTAWAN CONS SCH DIST 26,3779,35860
MATTESON SCHOOL DISTRICT 162,2902,46650
MATTITUCK-CUTCHOGUE UNION FREE SCH DIST,1310,42446
MATTOLE UNIFIED SCHOOL DISTRICT,780,7474
MATTOON COMMUNITY UNIT SCHOOL DISTRICT 2,3421,38646
MAUD IND SCH DIST 903,484,5067
MAUD SCH DIST 117,325,3929
MAUMEE CITY SCH DIST,2415,36069
MAURICE RIVER TWP SCH DIST,424,8738
MAURY CO SCH DIST,12259,108901
MAUSTON SCHOOL DISTRICT,1480,21229
MAX SCH DIST 50,195,3096
MAXWELL SCH DIST 7,228,3841
MAXWELL SCHOOL DISTRICT,109,2377
MAXWELL UNIF SCH DIST,312,4098
MAY INDEPENDENT SCHOOL DISTRICT,295,3672
MAY PORT SCHOOL DIST 14,490,6253
MAYER UNIFIED SCHOOL DISTRICT 43,570,5664
MAYFIELD CENTRAL SCHOOL DIST,931,17583
MAYFIELD CITY SCH DIST,4423,76802
MAYFIELD INDEP SCH DIST,1792,18958
MAYFLOWER SCH DIST,1163,11410
MAYNARD PUBLIC SCHOOLS,1418,27100
MAYNARD SCH DIST,486,4763
MAYPEARL IND SCH DISTRICT 915,1053,10519
MAYSVILLE LOCAL SCH DIST,2266,24565
MAYSVILLE SCH DIST 7,376,3816
MAYSVILLE SCH DIST R-1,636,5506
MAYVILLE CITY SCHOOL DISTRICT,1201,15182
MAYVILLE COMM DIST 10,668,7165
MAYWOOD BORO SCH DIST,943,20825
MAYWOOD PUBLIC SCH DIST 46,171,3087
MAYWOOD-MELROSE PARK-BROADVIEW SCHOOL DISTRICT 89,5355,69785
MAZON VERONA KINSMAN COMMUNITY UNIT DISTRICT 2,319,5195
MC BAIN RURAL AGR SCHOOL DIST,1007,13929
MC COOK CITY SCH DIST 17,1437,16847
MC DADE RURAL IND SCH DIST 905,206,2437
MC DOWELL CO SCH DIST,3417,54900
MC GRAW CTL SCH DIST,543,12526
MC GUFFEY SCH DIST,1743,30564
MC LEAN IND SCH DIST 903,207,2952
MC LEOD IND SCH DIST 906,380,3739
MCALESTER SCH DIST 80,3133,25219
MCALLEN IND SCH DIST 906,24692,252343
MCCABE UNION ELEM SCH DIST,1368,12070
MCCALL DONNELLEY SCHOOL DISTRICT 421,1014,15184
MCCAMEY IND SCH DIST 901,548,16712
MCCLAVE SCH DIST RE 2,279,3165
MCCLEARY SCHOOL DISTRICT 65,285,3822
MCCLELLAN COMMUNITY CONSOLIDATED SCHOOL DISTRICT 12,60,631
MCCLOUD UNION ELEM SCH DIST,66,942
MCCLUSKY SCHOOL DISTRICT #19,80,1770
MCCOMB LOCAL SCH DIST,710,9154
MCCOMB SCHOOL DISTRICT,2743,29646
MCCOOK CENTRAL SCHOOL DISTRICT 43-7,387,4345
MCCOOL JUNCTION SCHOOL DIST 83,270,4196
MCCORD SCH DIST 77,263,1929
MCCORMICK COUNTY SCHOOL DISTRICT,832,13265
MCCORMICK ELEM DIST 15,23,265
MCCRACKEN CO SCH DIST,6937,69078
MCCREARY CO SCH DIST,2967,32840
MCCRORY SCH DIST 12,646,6494
MCCURTAIN SCH DIST 37,226,2152
MCDONALD CO SCH DIST R1,3891,39362
MCDONALD LOCAL SCH DIST,840,8359
MCDOWELL CO SCH,6338,60198
MCDUFFIE CO SCH DIST,4280,42950
MCFARLAND JOINT SCHOOL DISTRICT 8,4304,41913
MCFARLAND UNIFIED SCHOOL DIST,3469,41972
MCGEHEE SCH DIST,1224,13985
MCGREGOR IND SCH DIST 4,443,7167
MCGREGOR IND SCH DIST 909,1373,15095
MCHENRY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15,4654,76373
MCHENRY COMMUNITY HIGH SCHOOL DISTRICT 155,6634,131982
MCHENRY COMMUNITY HIGH SCHOOL DISTRICT 156,2370,39892
MCINTOSH CO SCH DIST,1620,18645
MCINTOSH SCHOOL DISTRICT 15-1,177,3019
MCKEESPORT AREA SCH DIST,3530,61950
MCKENZIE CO SCH DIST 1,1332,21221
MCKENZIE SCH DIST 68,226,4317
MCKENZIE SPECIAL SCHOOL DISTRICT,1368,11323
MCKINLEYVILLE UNION ELEM SCH DIST,1141,11447
MCKINNEY IND SCH DISTRICT 907,24811,279291
MCKITTRICK ELEM SCH DIST,78,3584
MCLAUGHLIN SCHOOL DISTRICT 15-2,512,7591
MCLEAN CO SCH DIST,1677,16517
MCLEAN COUNTY UNIT DISTRICT 5,13696,177301
MCLOUD SCH DIST 1,1858,14330
MCLOUTH UNIFIED SCHOOL DISTRICT 342,538,6178
MCMINN CO SCH DIST,5861,46761
MCMINNVILLE SCH DIST 40,6633,78021
MCMULLEN COUNTY IND SCHOOL DIST,264,44945
MCNAIRY CO SCHOOL SYSTEM,4342,36982
MCNARY SCHOOL DISTRICT 23,165,2239
MCNEAL SCHOOL DISTRICT 55,53,731
MCPHERSON CO HIGH SCH DIST 90,82,2039
MCPHERSON UNIFIED SCHOOL DISTRICT 418,2464,26367
MCSWAIN UNION ELEM SCH DIST,865,7814
MEAD CONSOLIDATED SCHOOL DISTRICT 354,9733,102608
MEAD PUBLIC SCH DIST 72,253,5211
MEADE CO SCH DIST,5078,48471
MEADE SCHOOL DISTRICT 46-1,2652,25702
MEADE UNIFIED SCHOOL DISTRICT 226,428,7027
MEADOW HEIGHTS R-2 SCH DIST,533,4818
MEADOW IND SCH DIST 902,348,4073
MEADOWS ELEM SCH DIST,449,5622
MEADOWS VALLEY SCHOOL DISTRICT 11,157,2030
MEADVILLE SCH DIST R 4,231,2640
MECHANICSBURG AREA SCHOOL DIST,3845,61559
MECHANICSBURG EX VLG SCH DIST,892,11328
MECHANICVILLE CITY SCH,1392,22842
MECKLENBURG CO SCHS,4584,45923
MEDFIELD PUBLIC SCHS,2638,42626
MEDFORD AREA SCHOOL DISTRICT,2296,25149
MEDFORD IND SCH DIST 763,860,9309
MEDFORD LAKES BOROUGH SCH DIST,536,8009
MEDFORD PUBLIC SCH,4514,91399
MEDFORD SCH DIST 54,279,6816
MEDFORD SCH DIST 549C,13756,142296
MEDFORD TOWN SCHOOLS,33,411
MEDFORD TWP SCH DIST,2728,54565
MEDIAPOLIS COMMUNITY SCHOOL DISTRICT,763,9544
MEDICAL LAKE SCHOOL DISTRICT 326,1916,21235
MEDICINE LAKE K-12 SCHOOL DISTRICT,115,3633
MEDICINE VALLEY SCH DIST 125,220,3975
MEDINA CENTRAL SCH DIST,1719,35798
MEDINA CITY SCH DIST,6839,94036
MEDINA IND SCH DIST 901,269,3572
MEDINA PUB SCH DIST 3,153,2643
MEDINA VALLEY IND SCH DIST 908,4218,42880
MEDINAH SCHOOL DISTRICT 11,657,11974
MEDORA COMMUNITY SCHOOL CORPORATION,257,3308
MEDWAY PUBLIC SCHOOLS,2395,38818
MEDWAY TOWN SCHOOLS,166,3162
MEEKER SCH DIST 1,697,9322
MEEKER SCH DIST 95,848,6660
MEHLVILLE SCH DIST R-9,10331,105629
MEIGS CO SCH DIST,1839,16140
MEIGS LOCAL SCH DIST,1780,25421
MELBA JOINT SCHOOL DISTRICT 136,806,5700
MELBOURNE SCHOOL DIST,851,9809
MELCHER-DALLAS COMMUNITY SCHOOL DISTRICT,373,4233
MELISSA IND SCH DIST 908,2119,22098
MELLEN JOINT SCHOOL DISTRICT 1,282,3957
MELROSE IND SCH DIST 740,1376,16447
MELROSE MINDORO SCHOOL DISTRICT,747,10445
MELROSE PUBLIC SCHS,3711,56420
MELROSE SCHOOL DISTRICT,212,3518
MELSTONE ELEM SCH DIST 64J,55,925
MELSTONE H S DIST 64-H,27,834
MELVILLE ELEM DIST 5,25,245
MELVINDALE N ALLEN PK SCH DIST,2807,28329
MEMPHIS COMMON SCH DIST,926,18142
MEMPHIS IND SCH DIST 904,538,6858
MENA SCH DIST,1771,18202
MENAHGA SCH DIST 821,970,10502
MENANDS UNION FREE SCH DIST,263,7523
MENARD IND SCH DIST 901,305,4595
MENASHA JOINT SCHOOL DISTRICT,3613,49094
MENDHAM BORO SCH DIST,599,12159
MENDHAM TWP SCH DIST,706,19018
MENDOCINO CO SPL SCHS OPER BY CO SUPT,92,30683
MENDOCINO UNIF SCH DIST,551,11621
MENDON COMM SCH DIST 7,617,6853
MENDON COUNTY COMMUNITY UNIT SCHOOL DISTRICT 4,677,7176
MENDON-UPTON REGIONAL SCH DIST,2350,40296
MENDOTA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 289,1248,12532
MENDOTA TOWNSHIP HIGH SCHOOL DISTRICT 280,595,10229
MENDOTA UNIFIED SCHOOL DIST,3146,41803
MENIFEE CO SCH DIST,1043,12349
MENIFEE UNION ELEM SCHOOL DIST,11011,97690
MENLO PARK CY ELEMENTARY SCHOOL DISTRICT,2904,47733
MENNO SCHOOL DISTRICT 33-2,283,3728
MENOKEN SCH DIST 33,55,629
MENOMINEE INDIAN SCHOOL DISTRICT,850,19637
MENOMINEE PUBLIC SCHS,1490,14977
MENOMONEE FALLS SCHOOL DISTRICT,4098,58546
MENOMONIE AREA SCHOOL DISTRICT,3365,43087
MENTOR EX VLG SCH DIST,7859,119170
MEQUON-THEINSVILLE SCHOOL DISTRICT,3580,51970
MERAMEC VALLEY SCH DIST R 3,3307,35682
MERCED CITY SCH DIST,10788,112203
MERCED CO SPL SCHS OPER BY CO SUPT,1288,117576
MERCED RIVER UNION ELEM SCH DIST,150,1835
MERCED UNION HIGH SCHOOL DIST,10039,114394
MERCEDES IND SCH DIST 907,5769,67169
MERCER AREA SCH DIST,1191,17372
MERCER CO SCH DIST,2927,31798
MERCER CO SCHOOL DISTRICT,9461,112772
MERCER COUNTY SCHOOL DISTRICT 404,1387,14633
MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,636,57359
MERCER COUNTY VOCATIONAL SCHOOLS,580,15519
MERCER ISLAND SCHOOL DISTRICT 400,4446,60785
MERCER SCHOOL DISTRICT 1,144,2913
MERCHANTVILLE BORO SCH DIST,371,8098
MEREDOSIA CHAMBERSBURG COMMUNITY UNIT SCHOOL DISTRICT 11,244,3669
MERIDEN CITY SCHOOLS,8033,187511
MERIDIAN COMMUNITY UNIT SCHOOL DISTRICT 101,507,8401
MERIDIAN COMMUNITY UNIT SCHOOL DISTRICT 15,1044,34246
MERIDIAN COMMUNITY UNIT SCHOOL DISTRICT 223,1846,22013
MERIDIAN ELEM SCH DIST,978,1459
MERIDIAN IND SCH DISTRICT 902,494,6677
MERIDIAN MUN SEP SCH DIST,5905,59042
MERIDIAN PUB SCH DIST 4,1329,15493
MERIDIAN SCH DIST 303,221,4046
MERIDIAN SCHOOL DISTRICT 2,36804,261389
MERIDIAN SCHOOL DISTRICT 505,1765,18976
MERIWETHER CO SCH DIST,2996,33180
MERKEL IND SCH DIST 904,1127,12733
MERRICK UF SCH DIST,1498,45674
